480049,0.87995,0.28697,-0.008875,a09
480050,0.88699,0.26013,-0.001756,a09
480051,0.89466,0.24251,-0.0021,a09
480052,0.89337,0.24309,-0.012933,a09
480053,0.8878,0.26428,-0.027607,a09
480054,0.87091,0.30853,-0.041505,a09
480055,0.85083,0.36212,-0.035132,a09
480056,0.82771,0.41791,-0.018624,a09
480057,0.80191,0.4678,-0.001066,a09
480058,0.76865,0.51952,0.000824,a09
480059,0.72228,0.58175,-0.005582,a09
480060,0.67939,0.63251,-0.023227,a09
480061,0.6398,0.67124,-0.043763,a09
480062,0.60042,0.70678,-0.063722,a09
480063,0.57291,0.72819,-0.067912,a09
480064,0.55674,0.73751,-0.076154,a09
480065,0.54882,0.74133,-0.085325,a09
480066,0.54354,0.74681,-0.093289,a09
480067,0.53777,0.75023,-0.097637,a09
480068,0.53011,0.7527,-0.11422,a09
480069,0.5259,0.74386,-0.1604,a09
480070,0.53185,0.74013,-0.16452,a09
480071,0.56144,0.72087,-0.15594,a09
480072,0.60567,0.68801,-0.13087,a09
480073,0.64801,0.65042,-0.12221,a09
480074,0.68608,0.61214,-0.11212,a09
480075,0.71086,0.5856,-0.10549,a09
480076,0.72992,0.56018,-0.10303,a09
480077,0.75193,0.53307,-0.0758,a09
480078,0.7736,0.50684,-0.047701,a09
480079,0.79982,0.46897,-0.022974,a09
480080,0.81778,0.43551,-0.019248,a09
480081,0.83425,0.4021,-0.023785,a09
480082,0.85001,0.36482,-0.022626,a09
480083,0.86044,0.34094,-0.016226,a09
480084,0.86846,0.32021,-0.008673,a09
480085,0.8763,0.30006,0.005538,a09
480086,0.88443,0.27496,0.002904,a09
480087,0.8881,0.25627,0.004124,a09
480088,0.89472,0.23598,0.002897,a09
480089,0.89838,0.21949,0.000739,a09
480090,0.89885,0.21451,-0.013534,a09
480091,0.89672,0.2228,-0.034672,a09
480092,0.88873,0.25374,-0.045359,a09
480093,0.87222,0.30313,-0.049454,a09
480094,0.84955,0.36398,-0.045603,a09
480095,0.82857,0.41196,-0.038387,a09
480096,0.80637,0.45446,-0.031238,a09
480097,0.77629,0.50533,-0.030004,a09
480098,0.73879,0.55824,-0.038664,a09
480099,0.70076,0.60175,-0.050894,a09
480100,0.66867,0.63936,-0.049484,a09
480101,0.63548,0.67395,-0.053317,a09
480102,0.60588,0.69899,-0.069831,a09
480103,0.58747,0.7132,-0.086959,a09
480104,0.57209,0.71985,-0.10989,a09
480105,0.55683,0.72725,-0.13091,a09
480106,0.54576,0.7359,-0.1436,a09
480107,0.53582,0.74243,-0.14454,a09
480108,0.53219,0.74963,-0.1254,a09
480109,0.53328,0.74972,-0.1029,a09
480110,0.54036,0.74536,-0.091051,a09
480111,0.52076,0.75638,-0.12369,a09
480112,0.52485,0.74179,-0.17375,a09
480113,0.54975,0.72898,-0.14861,a09
480114,0.58618,0.70315,-0.13752,a09
480115,0.62087,0.67552,-0.12594,a09
480116,0.65711,0.64655,-0.10376,a09
480117,0.68569,0.61492,-0.10988,a09
480118,0.70896,0.58798,-0.10289,a09
480119,0.73103,0.55982,-0.087583,a09
480120,0.75501,0.53025,-0.052933,a09
480121,0.78196,0.50068,-0.014598,a09
480122,0.80322,0.46416,0.009437,a09
480123,0.82285,0.43004,0.018361,a09
480124,0.83218,0.4029,0.017854,a09
480125,0.84219,0.37978,0.023971,a09
480126,0.85494,0.35551,0.034045,a09
480127,0.8642,0.33314,0.042307,a09
480128,0.8735,0.30774,0.045363,a09
480129,0.87767,0.28973,0.042735,a09
480130,0.88115,0.27284,0.041606,a09
480131,0.88846,0.25915,0.044004,a09
480132,0.89031,0.24814,0.037328,a09
480133,0.89029,0.25695,0.018685,a09
480134,0.87907,0.28657,-0.006841,a09
480135,0.86356,0.32998,-0.026843,a09
480136,0.84171,0.38551,-0.025181,a09
480137,0.81684,0.43714,-0.001336,a09
480138,0.79358,0.4809,0.005629,a09
480139,0.75411,0.5385,-0.002534,a09
480140,0.71726,0.58654,-0.022768,a09
480141,0.68813,0.61979,-0.045833,a09
480142,0.65847,0.64741,-0.066375,a09
480143,0.63411,0.67107,-0.078467,a09
480144,0.61731,0.68473,-0.087448,a09
480145,0.60338,0.69571,-0.092826,a09
480146,0.58868,0.70884,-0.097883,a09
480147,0.57313,0.72316,-0.092846,a09
480148,0.55556,0.73632,-0.087465,a09
480149,0.53779,0.75042,-0.073893,a09
480150,0.53368,0.75453,-0.067419,a09
480151,0.52978,0.75655,-0.085676,a09
480152,0.53369,0.73838,-0.1661,a09
480153,0.54707,0.71752,-0.20086,a09
480154,0.58738,0.69115,-0.18078,a09
480155,0.62867,0.66423,-0.13794,a09
480156,0.66575,0.63308,-0.11326,a09
480157,0.69519,0.60184,-0.1019,a09
480158,0.72537,0.57052,-0.079992,a09
480159,0.75836,0.52613,-0.059174,a09
480160,0.78547,0.48707,-0.043768,a09
480161,0.80756,0.45221,-0.034883,a09
480162,0.82743,0.41559,-0.032069,a09
480163,0.84224,0.38421,-0.021547,a09
480164,0.85499,0.35107,-0.016705,a09
480165,0.8682,0.31473,-0.007813,a09
480166,0.88087,0.28471,0.005443,a09
480167,0.88738,0.26451,0.00819,a09
480168,0.8904,0.25299,0.003227,a09
480169,0.88595,0.25554,-0.018907,a09
480170,0.87836,0.28466,-0.040717,a09
480171,0.86205,0.33064,-0.047953,a09
480172,0.83879,0.39126,-0.032563,a09
480173,0.81278,0.44329,-0.011969,a09
480174,0.77753,0.50277,-0.011307,a09
480175,0.74082,0.55591,-0.015967,a09
480176,0.70373,0.60051,-0.018432,a09
480177,0.66451,0.64349,-0.029406,a09
480178,0.62845,0.67842,-0.048095,a09
480179,0.59035,0.712,-0.059379,a09
480180,0.56523,0.73194,-0.068346,a09
480181,0.55432,0.73832,-0.068285,a09
480182,0.54019,0.74729,-0.076843,a09
480183,0.52175,0.75916,-0.087512,a09
480184,0.50875,0.76443,-0.10983,a09
480185,0.50156,0.76184,-0.14608,a09
480186,0.5036,0.75867,-0.16149,a09
480187,0.54111,0.73843,-0.1307,a09
480188,0.5895,0.70656,-0.097559,a09
480189,0.64174,0.65811,-0.10393,a09
480190,0.66975,0.62848,-0.10496,a09
480191,0.69054,0.60288,-0.11079,a09
480192,0.71385,0.57785,-0.10294,a09
480193,0.73749,0.54979,-0.083736,a09
480194,0.75774,0.52608,-0.053416,a09
480195,0.77771,0.49874,-0.033051,a09
480196,0.80068,0.46492,-0.025955,a09
480197,0.81784,0.43108,-0.022761,a09
480198,0.83722,0.39433,-0.019703,a09
480199,0.85131,0.35678,-0.018591,a09
480200,0.86547,0.31866,-0.009251,a09
480201,0.87888,0.28806,-0.001996,a09
480202,0.88701,0.26366,0.002802,a09
480203,0.89298,0.24279,0.008753,a09
480204,0.89043,0.23727,-0.004576,a09
480205,0.88594,0.25511,-0.02827,a09
480206,0.87323,0.29668,-0.038139,a09
480207,0.84986,0.362,-0.036187,a09
480208,0.81617,0.43276,-0.011547,a09
480209,0.77529,0.50476,0.008227,a09
480210,0.73846,0.56104,0.009668,a09
480211,0.69738,0.6062,-0.005253,a09
480212,0.65268,0.65286,-0.038156,a09
480213,0.61201,0.687,-0.07456,a09
480214,0.5772,0.71481,-0.10951,a09
480215,0.55737,0.7303,-0.11374,a09
480216,0.54718,0.73696,-0.098262,a09
480217,0.53919,0.74569,-0.085831,a09
480218,0.51999,0.75919,-0.07794,a09
480219,0.5055,0.77037,-0.076664,a09
480220,0.5061,0.76585,-0.099798,a09
480221,0.51406,0.75299,-0.13873,a09
480222,0.53309,0.73461,-0.15706,a09
480223,0.57215,0.70922,-0.13447,a09
480224,0.62777,0.66609,-0.1158,a09
480225,0.66743,0.63109,-0.10098,a09
480226,0.69111,0.60559,-0.082454,a09
480227,0.71469,0.5783,-0.078409,a09
480228,0.73898,0.54997,-0.071755,a09
480229,0.75884,0.51806,-0.068256,a09
480230,0.78122,0.48657,-0.051079,a09
480231,0.80271,0.45533,-0.033549,a09
480232,0.82022,0.4206,-0.031099,a09
480233,0.83657,0.38384,-0.030702,a09
480234,0.85102,0.34814,-0.0368,a09
480235,0.86422,0.31323,-0.033197,a09
480236,0.87868,0.2796,-0.028036,a09
480237,0.88614,0.25318,-0.02579,a09
480238,0.89077,0.23407,-0.0185,a09
480239,0.89142,0.22548,-0.025385,a09
480240,0.88623,0.24215,-0.048181,a09
480241,0.8776,0.27734,-0.065383,a09
480242,0.85608,0.33612,-0.072883,a09
480243,0.82965,0.39687,-0.060289,a09
480244,0.79648,0.46171,-0.060172,a09
480245,0.76462,0.50974,-0.088209,a09
480246,0.72974,0.55274,-0.1124,a09
480247,0.68876,0.59881,-0.12939,a09
480248,0.65037,0.6378,-0.13295,a09
480249,0.60098,0.68348,-0.15956,a09
480250,0.56258,0.71319,-0.16488,a09
480251,0.54281,0.73297,-0.14762,a09
480252,0.52466,0.7475,-0.1392,a09
480253,0.50675,0.75497,-0.15593,a09
480254,0.4952,0.75533,-0.18402,a09
480255,0.50445,0.74203,-0.21405,a09
480256,0.52011,0.72913,-0.22078,a09
480257,0.54937,0.70986,-0.21157,a09
480258,0.58556,0.68697,-0.18539,a09
480259,0.63758,0.64734,-0.16419,a09
480260,0.67359,0.60925,-0.16483,a09
480261,0.6976,0.57959,-0.16792,a09
480262,0.72538,0.54397,-0.16783,a09
480263,0.75353,0.50325,-0.16712,a09
480264,0.78168,0.46545,-0.14965,a09
480265,0.80477,0.43288,-0.12268,a09
480266,0.82187,0.40287,-0.10505,a09
480267,0.83813,0.373,-0.090276,a09
480268,0.85359,0.33859,-0.08199,a09
480269,0.86698,0.30249,-0.072454,a09
480270,0.87581,0.27479,-0.067318,a09
480271,0.88554,0.25354,-0.055852,a09
480272,0.88769,0.24551,-0.052432,a09
480273,0.88218,0.25972,-0.069288,a09
480274,0.86357,0.30869,-0.088331,a09
480275,0.83659,0.37315,-0.095589,a09
480276,0.8092,0.43872,-0.082983,a09
480277,0.77578,0.495,-0.077072,a09
480278,0.73973,0.54221,-0.1042,a09
480279,0.69424,0.5959,-0.12531,a09
480280,0.65292,0.64088,-0.13279,a09
480281,0.61971,0.67018,-0.145,a09
480282,0.58718,0.69833,-0.15512,a09
480283,0.56622,0.71431,-0.15708,a09
480284,0.54884,0.72681,-0.14912,a09
480285,0.53698,0.73536,-0.15118,a09
480286,0.52282,0.7435,-0.16755,a09
480287,0.51268,0.74905,-0.17323,a09
480288,0.5157,0.74137,-0.19739,a09
480289,0.53049,0.71634,-0.23293,a09
480290,0.55364,0.694,-0.24491,a09
480291,0.58784,0.67146,-0.23382,a09
480292,0.63141,0.6381,-0.21081,a09
480293,0.66955,0.60276,-0.20283,a09
480294,0.70017,0.57408,-0.17621,a09
480295,0.72273,0.55053,-0.16405,a09
480296,0.74257,0.52447,-0.15976,a09
480297,0.7627,0.50211,-0.13999,a09
480298,0.77771,0.48435,-0.1134,a09
480299,0.79543,0.46205,-0.087552,a09
480300,0.8118,0.43414,-0.079868,a09
480301,0.82628,0.40552,-0.080702,a09
480302,0.83939,0.37757,-0.071706,a09
480303,0.85405,0.34656,-0.059655,a09
480304,0.86738,0.31328,-0.052226,a09
480305,0.87599,0.28587,-0.05198,a09
480306,0.88027,0.26998,-0.048994,a09
480307,0.88192,0.26795,-0.048008,a09
480308,0.8748,0.29163,-0.056869,a09
480309,0.85255,0.34294,-0.070548,a09
480310,0.82488,0.40782,-0.067437,a09
480311,0.7949,0.46984,-0.059212,a09
480312,0.76288,0.52086,-0.047258,a09
480313,0.73595,0.55702,-0.04977,a09
480314,0.69919,0.60161,-0.051197,a09
480315,0.66777,0.63665,-0.062556,a09
480316,0.63914,0.66282,-0.090742,a09
480317,0.61049,0.6839,-0.11999,a09
480318,0.58859,0.69885,-0.13891,a09
480319,0.56871,0.71286,-0.14774,a09
480320,0.55466,0.72426,-0.14196,a09
480321,0.54525,0.73704,-0.12708,a09
480322,0.53187,0.75049,-0.1063,a09
480323,0.52091,0.7542,-0.12198,a09
480324,0.51471,0.75565,-0.13632,a09
480325,0.50576,0.74934,-0.18706,a09
480326,0.51352,0.73652,-0.21431,a09
480327,0.54525,0.72185,-0.18765,a09
480328,0.58905,0.6954,-0.15295,a09
480329,0.63339,0.65845,-0.14142,a09
480330,0.66502,0.62364,-0.14328,a09
480331,0.69129,0.59618,-0.14852,a09
480332,0.71397,0.56739,-0.15012,a09
480333,0.73561,0.54283,-0.14028,a09
480334,0.75506,0.51815,-0.11767,a09
480335,0.77339,0.49723,-0.088482,a09
480336,0.78873,0.47737,-0.070321,a09
480337,0.801,0.46109,-0.056555,a09
480338,0.8113,0.43967,-0.05508,a09
480339,0.82061,0.41699,-0.056951,a09
480340,0.83392,0.3928,-0.055334,a09
480341,0.8464,0.3687,-0.05092,a09
480342,0.85718,0.34331,-0.047048,a09
480343,0.86894,0.31162,-0.048682,a09
480344,0.87464,0.28599,-0.052922,a09
480345,0.87983,0.27118,-0.05686,a09
480346,0.88437,0.26134,-0.061805,a09
480347,0.87882,0.26935,-0.083942,a09
480348,0.86636,0.30577,-0.10218,a09
480349,0.84084,0.36316,-0.11543,a09
480350,0.81432,0.42013,-0.10842,a09
480351,0.79313,0.46513,-0.093968,a09
480352,0.76693,0.50819,-0.099405,a09
480353,0.73112,0.55154,-0.12029,a09
480354,0.69098,0.59736,-0.13648,a09
480355,0.65021,0.63455,-0.15741,a09
480356,0.61112,0.67151,-0.17854,a09
480357,0.5756,0.7021,-0.17955,a09
480358,0.55356,0.72203,-0.16686,a09
480359,0.54082,0.73312,-0.15205,a09
480360,0.53133,0.7381,-0.15038,a09
480361,0.51504,0.75214,-0.15948,a09
480362,0.50979,0.74352,-0.2021,a09
480363,0.52591,0.72254,-0.2346,a09
480364,0.5409,0.70593,-0.24077,a09
480365,0.57644,0.68624,-0.21762,a09
480366,0.61927,0.65856,-0.18948,a09
480367,0.65919,0.62124,-0.18577,a09
480368,0.68743,0.59065,-0.17832,a09
480369,0.71976,0.5567,-0.15937,a09
480370,0.74485,0.52955,-0.13962,a09
480371,0.76367,0.5053,-0.12397,a09
480372,0.78404,0.47986,-0.10132,a09
480373,0.8014,0.45391,-0.081187,a09
480374,0.81817,0.42593,-0.064248,a09
480375,0.83042,0.39726,-0.060272,a09
480376,0.84213,0.37579,-0.051693,a09
480377,0.85584,0.3479,-0.032539,a09
480378,0.86814,0.31547,-0.021306,a09
480379,0.87652,0.28863,-0.013376,a09
480380,0.88109,0.27569,-0.013001,a09
480381,0.88453,0.26573,-0.020802,a09
480382,0.8784,0.28351,-0.04031,a09
480383,0.86387,0.32282,-0.05456,a09
480384,0.83621,0.38974,-0.052769,a09
480385,0.80137,0.45826,-0.035569,a09
480386,0.76889,0.51515,-0.025404,a09
480387,0.72949,0.56727,-0.033724,a09
480388,0.68948,0.61516,-0.054822,a09
480389,0.64654,0.6586,-0.063609,a09
480390,0.61383,0.68727,-0.07438,a09
480391,0.58968,0.70855,-0.091171,a09
480392,0.57915,0.71645,-0.1055,a09
480393,0.56827,0.71936,-0.13285,a09
480394,0.55338,0.72193,-0.15492,a09
480395,0.53835,0.73239,-0.15968,a09
480396,0.52804,0.74739,-0.13704,a09
480397,0.53035,0.74806,-0.1226,a09
480398,0.54817,0.73422,-0.12103,a09
480399,0.55713,0.70965,-0.1913,a09
480400,0.57084,0.6747,-0.262,a09
480401,0.59336,0.65852,-0.26537,a09
480402,0.63582,0.63527,-0.2182,a09
480403,0.67495,0.60331,-0.18483,a09
480404,0.71365,0.57381,-0.12457,a09
480405,0.74275,0.54023,-0.10741,a09
480406,0.76765,0.50262,-0.11751,a09
480407,0.79476,0.45749,-0.10867,a09
480408,0.82412,0.40116,-0.11188,a09
480409,0.83917,0.36746,-0.11286,a09
480410,0.84432,0.36056,-0.10334,a09
480411,0.85261,0.34188,-0.096969,a09
480412,0.86126,0.321,-0.086057,a09
480413,0.86843,0.30396,-0.078982,a09
480414,0.87138,0.3008,-0.061633,a09
480415,0.86594,0.31101,-0.072768,a09
480416,0.85483,0.33942,-0.089796,a09
480417,0.8334,0.38686,-0.094394,a09
480418,0.80417,0.44802,-0.074064,a09
480419,0.76859,0.51496,-0.051339,a09
480420,0.72978,0.56952,-0.043639,a09
480421,0.68814,0.61518,-0.0591,a09
480422,0.646,0.65996,-0.074561,a09
480423,0.60237,0.69556,-0.090801,a09
480424,0.56462,0.72588,-0.10869,a09
480425,0.54586,0.73987,-0.1144,a09
480426,0.53672,0.74232,-0.13013,a09
480427,0.52402,0.75238,-0.12929,a09
480428,0.5146,0.75716,-0.13391,a09
480429,0.53899,0.73929,-0.1458,a09
480430,0.55637,0.72121,-0.15661,a09
480431,0.58239,0.70381,-0.14535,a09
480432,0.62501,0.66666,-0.14362,a09
480433,0.65891,0.63082,-0.1409,a09
480434,0.68939,0.60322,-0.12329,a09
480435,0.71889,0.57583,-0.099543,a09
480436,0.74198,0.54924,-0.07319,a09
480437,0.76526,0.51999,-0.046526,a09
480438,0.78186,0.49341,-0.030003,a09
480439,0.79762,0.46564,-0.023624,a09
480440,0.81538,0.43599,-0.018432,a09
480441,0.83144,0.40666,-0.008166,a09
480442,0.84689,0.37337,0.003823,a09
480443,0.86036,0.34031,0.015103,a09
480444,0.8731,0.30324,0.018988,a09
480445,0.88107,0.27827,0.014293,a09
480446,0.8849,0.26603,0.00616,a09
480447,0.88067,0.2798,-0.018223,a09
480448,0.86517,0.32348,-0.039769,a09
480449,0.83706,0.39211,-0.045725,a09
480450,0.80118,0.46175,-0.026781,a09
480451,0.76467,0.52257,-0.02002,a09
480452,0.72102,0.58178,-0.043232,a09
480453,0.6711,0.6335,-0.077928,a09
480454,0.62482,0.67382,-0.099727,a09
480455,0.59054,0.7016,-0.11284,a09
480456,0.56418,0.72345,-0.12432,a09
480457,0.55132,0.73601,-0.11801,a09
480458,0.54674,0.74131,-0.10182,a09
480459,0.53929,0.74662,-0.089566,a09
480460,0.52369,0.7573,-0.075095,a09
480461,0.5189,0.76619,-0.062952,a09
480462,0.52416,0.75958,-0.089755,a09
480463,0.52949,0.74223,-0.15924,a09
480464,0.54745,0.72367,-0.17272,a09
480465,0.58255,0.7035,-0.13777,a09
480466,0.62578,0.67265,-0.11187,a09
480467,0.66253,0.63729,-0.10162,a09
480468,0.68757,0.61072,-0.091385,a09
480469,0.72003,0.57891,-0.068499,a09
480470,0.74431,0.54862,-0.055136,a09
480471,0.75917,0.52517,-0.049761,a09
480472,0.77899,0.49771,-0.029655,a09
480473,0.80004,0.4655,-0.018668,a09
480474,0.82076,0.42614,-0.006151,a09
480475,0.83991,0.3879,-0.008336,a09
480476,0.85258,0.35866,-0.013066,a09
480477,0.86241,0.32891,-0.005166,a09
480478,0.87396,0.30251,-0.00151,a09
480479,0.88167,0.28023,0.008628,a09
480480,0.88768,0.26014,0.013412,a09
480481,0.88943,0.24926,0.006986,a09
480482,0.8878,0.25792,-0.010677,a09
480483,0.87623,0.29028,-0.029716,a09
480484,0.85779,0.33934,-0.042851,a09
480485,0.83363,0.39637,-0.040774,a09
480486,0.80869,0.44862,-0.030419,a09
480487,0.78155,0.4969,-0.021089,a09
480488,0.74994,0.54259,-0.025971,a09
480489,0.71242,0.58954,-0.037734,a09
480490,0.68004,0.62489,-0.057087,a09
480491,0.6561,0.65077,-0.075494,a09
480492,0.63199,0.67216,-0.089848,a09
480493,0.61377,0.68565,-0.11171,a09
480494,0.6018,0.68745,-0.12918,a09
480495,0.59113,0.69282,-0.14591,a09
480496,0.579,0.70491,-0.16024,a09
480497,0.56869,0.7147,-0.15483,a09
480498,0.55532,0.7264,-0.13774,a09
480499,0.55689,0.729,-0.10988,a09
480500,0.56317,0.72826,-0.088753,a09
480501,0.55311,0.73305,-0.11162,a09
480502,0.5538,0.71745,-0.18422,a09
480503,0.57221,0.701,-0.18926,a09
480504,0.60082,0.68003,-0.17503,a09
480505,0.6333,0.65594,-0.14677,a09
480506,0.66661,0.6314,-0.12501,a09
480507,0.69061,0.60539,-0.12213,a09
480508,0.71164,0.58082,-0.11167,a09
480509,0.73638,0.55194,-0.098828,a09
480510,0.75571,0.527,-0.076215,a09
480511,0.77304,0.50826,-0.051594,a09
480512,0.78408,0.49185,-0.038891,a09
480513,0.79553,0.47367,-0.02794,a09
480514,0.80722,0.45059,-0.023569,a09
480515,0.82313,0.42114,-0.015358,a09
480516,0.84348,0.38383,-0.004173,a09
480517,0.86265,0.3372,-0.007618,a09
480518,0.87477,0.30224,-0.013803,a09
480519,0.8821,0.2798,-0.016253,a09
480520,0.8799,0.28277,-0.024846,a09
480521,0.87186,0.31065,-0.034967,a09
480522,0.84898,0.36509,-0.04256,a09
480523,0.81904,0.43054,-0.016938,a09
480524,0.78289,0.49643,0.008484,a09
480525,0.7459,0.55327,0.018639,a09
480526,0.70539,0.60245,0.012392,a09
480527,0.66,0.6525,-0.015074,a09
480528,0.61746,0.68827,-0.052207,a09
480529,0.57824,0.7201,-0.10123,a09
480530,0.55635,0.73245,-0.11317,a09
480531,0.55085,0.73878,-0.098823,a09
480532,0.5398,0.74977,-0.0855,a09
480533,0.52243,0.762,-0.091906,a09
480534,0.50694,0.76935,-0.090978,a09
480535,0.506,0.76438,-0.13944,a09
480536,0.51371,0.75356,-0.1634,a09
480537,0.54247,0.73244,-0.16148,a09
480538,0.58649,0.70237,-0.13519,a09
480539,0.64296,0.65571,-0.12156,a09
480540,0.68098,0.6195,-0.11549,a09
480541,0.70279,0.59396,-0.11051,a09
480542,0.72824,0.56322,-0.10262,a09
480543,0.75361,0.53138,-0.085088,a09
480544,0.77929,0.4945,-0.0749,a09
480545,0.8009,0.45835,-0.063825,a09
480546,0.82154,0.42385,-0.05358,a09
480547,0.83992,0.3909,-0.049337,a09
480548,0.85425,0.35537,-0.046329,a09
480549,0.86655,0.31756,-0.046809,a09
480550,0.87784,0.28315,-0.042888,a09
480551,0.88847,0.25878,-0.03904,a09
480552,0.88863,0.25364,-0.048569,a09
480553,0.88073,0.27346,-0.070864,a09
480554,0.86084,0.32217,-0.089942,a09
480555,0.83494,0.38714,-0.080103,a09
480556,0.81091,0.44653,-0.053932,a09
480557,0.7779,0.5011,-0.040789,a09
480558,0.74036,0.554,-0.048038,a09
480559,0.69693,0.60918,-0.061672,a09
480560,0.65659,0.64706,-0.089276,a09
480561,0.62633,0.6735,-0.12214,a09
480562,0.6055,0.69099,-0.13812,a09
480563,0.59716,0.69483,-0.15141,a09
480564,0.59321,0.69215,-0.15482,a09
480565,0.58932,0.6985,-0.14132,a09
480566,0.57643,0.71176,-0.1444,a09
480567,0.5574,0.73145,-0.11312,a09
480568,0.55365,0.73932,-0.082957,a09
480569,0.56116,0.73059,-0.096687,a09
480570,0.55677,0.71148,-0.19789,a09
480571,0.56709,0.69178,-0.23752,a09
480572,0.59994,0.67536,-0.19718,a09
480573,0.64613,0.64792,-0.14725,a09
480574,0.67584,0.61979,-0.12606,a09
480575,0.70051,0.59411,-0.099157,a09
480576,0.72998,0.56561,-0.081301,a09
480577,0.76179,0.52481,-0.065462,a09
480578,0.78895,0.48419,-0.046047,a09
480579,0.81018,0.4408,-0.038063,a09
480580,0.83193,0.40311,-0.025415,a09
480581,0.84705,0.37399,-0.010175,a09
480582,0.85888,0.34939,-0.007698,a09
480583,0.86797,0.32726,0.00017,a09
480584,0.87108,0.3071,0.011283,a09
480585,0.87555,0.29435,0.019353,a09
480586,0.88114,0.28262,0.028722,a09
480587,0.88138,0.28639,0.018264,a09
480588,0.87228,0.31295,-0.003418,a09
480589,0.84933,0.36612,-0.026522,a09
480590,0.81941,0.4296,-0.026279,a09
480591,0.7955,0.4775,-0.013248,a09
480592,0.76969,0.51726,-0.001156,a09
480593,0.73769,0.5627,-0.0081,a09
480594,0.6941,0.61164,-0.02137,a09
480595,0.66129,0.64527,-0.04892,a09
480596,0.63902,0.66717,-0.077217,a09
480597,0.61665,0.68492,-0.096714,a09
480598,0.59962,0.69817,-0.11982,a09
480599,0.58323,0.70189,-0.14298,a09
480600,0.56685,0.71355,-0.15731,a09
480601,0.55038,0.72934,-0.16144,a09
480602,0.53585,0.7418,-0.14594,a09
480603,0.52065,0.75697,-0.1178,a09
480604,0.51211,0.76532,-0.089718,a09
480605,0.51822,0.76313,-0.07845,a09
480606,0.53071,0.75496,-0.076504,a09
480607,0.5287,0.75495,-0.093896,a09
480608,0.52155,0.73601,-0.20481,a09
480609,0.54822,0.71219,-0.21819,a09
480610,0.58978,0.68819,-0.18926,a09
480611,0.62132,0.66927,-0.157,a09
480612,0.65313,0.64045,-0.14254,a09
480613,0.67834,0.6094,-0.1453,a09
480614,0.70878,0.58392,-0.12054,a09
480615,0.7355,0.5578,-0.08484,a09
480616,0.75296,0.53484,-0.057444,a09
480617,0.77513,0.50375,-0.041179,a09
480618,0.79323,0.47373,-0.038538,a09
480619,0.81602,0.43666,-0.022019,a09
480620,0.83378,0.40558,-0.013465,a09
480621,0.84654,0.37426,-0.013662,a09
480622,0.86262,0.33384,-0.001398,a09
480623,0.87471,0.29892,0.002942,a09
480624,0.88392,0.26978,0.012994,a09
480625,0.8902,0.24946,0.016121,a09
480626,0.89344,0.23885,0.008967,a09
480627,0.89053,0.24838,-0.008367,a09
480628,0.87767,0.2909,-0.025703,a09
480629,0.85581,0.35159,-0.03235,a09
480630,0.82932,0.41046,-0.024473,a09
480631,0.80268,0.46094,-0.018504,a09
480632,0.77552,0.50699,-0.015296,a09
480633,0.74092,0.55679,-0.01444,a09
480634,0.70172,0.60178,-0.021085,a09
480635,0.66681,0.63877,-0.041316,a09
480636,0.63772,0.67085,-0.062177,a09
480637,0.61055,0.69419,-0.084747,a09
480638,0.59085,0.70668,-0.11126,a09
